CensusTract,County Code,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractSeniorsProportion,TractWhite,TractBlack,TractBlackProportion,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
26049010502,26049,Michigan,Genesee County,1,3581,1594,0,4,0.11,1,1,1,1,1,1,21.6,58676,1,1,1,1,1,0,0,1,756,2926,756,282,1091,282,2926,81.70,1091,30.46,697,19.45,597,16.67,2095,58.52,721,20.14,23,0.63,0,0.00,13,0.37,73,2.04,66,1.86,102,6.40,214,13.44,756,21.12,282,7.89,204,5.71,106,2.95,472,13.18,257,7.18,4,0.11,0,0.00,4,0.10,20,0.56,14,0.40,22,1.38,52,3.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1395,852,752,0.209997207,2511,936,0.261379503,27,0,16,91,81,133,277
26049010503,26049,Michigan,Genesee County,0,2253,848,0,10,0.44,0,0,0,0,0,0,12.9,63333,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2253,100.00,644,28.56,521,23.12,344,15.27,2056,91.26,99,4.39,2,0.09,0,0.00,15,0.67,81,3.60,51,2.26,51,6.06,124,14.68,2253,100.00,644,28.56,521,23.12,344,15.27,2056,91.26,99,4.39,2,0.09,0,0.00,15,0.67,81,3.60,51,2.26,51,6.06,124,14.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,671,521,344,0.152685308,2056,99,0.043941411,2,0,15,81,51,56,133
26049010504,26049,Michigan,Genesee County,0,4188,1630,0,24,0.57,0,0,0,0,0,1,19.5,49123,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4065,97.07,1896,45.28,923,22.04,699,16.70,2626,62.70,1229,29.35,10,0.24,1,0.02,26,0.62,173,4.13,121,2.88,93,5.69,265,16.25,3229,77.11,1482,35.38,710,16.95,600,14.33,1902,45.41,1172,27.99,7,0.16,1,0.02,18,0.43,130,3.10,98,2.34,66,4.05,215,13.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1826,957,710,0.169531996,2733,1232,0.29417383,10,1,26,186,125,106,292
26049010603,26049,Michigan,Genesee County,1,5621,2482,0,158,2.81,0,0,0,0,0,0,14.5,74965,1,1,1,1,1,0,0,0,1265,3966,1265,414,1272,414,3966,70.56,1272,22.63,827,14.72,906,16.12,3775,67.17,79,1.41,15,0.27,0,0.00,11,0.20,85,1.51,84,1.49,62,2.49,195,7.85,1265,22.51,414,7.37,286,5.09,266,4.73,1215,21.61,11,0.20,4,0.06,0,0.00,1,0.02,35,0.61,17,0.30,17,0.68,58,2.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1586,1139,1390,0.24728696,5335,133,0.02366127,19,0,21,113,125,88,270
26049010604,26049,Michigan,Genesee County,1,2768,1092,0,0,0.00,0,0,0,0,0,0,14.2,70761,0,1,0,1,0,0,0,0,73,1637,73,28,589,28,1637,59.16,589,21.28,400,14.44,251,9.05,1564,56.50,41,1.47,9,0.33,0,0.00,3,0.10,21,0.75,37,1.33,9,0.85,40,3.62,73,2.64,28,1.00,17,0.62,8,0.28,68,2.45,4,0.14,1,0.05,0,0.00,0,0.00,0,0.01,2,0.06,1,0.05,2,0.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,882,682,430,0.155346821,2621,65,0.023482659,18,2,10,52,56,10,66
26049010610,26049,Michigan,Genesee County,1,5522,2059,0,26,0.47,0,0,0,0,1,0,9.7,70135,1,1,1,1,1,0,0,1,5098,5522,5098,1524,1614,1524,5522,100.00,1614,29.22,1355,24.54,747,13.53,5193,94.04,142,2.57,30,0.54,3,0.05,32,0.58,122,2.21,175,3.17,120,5.82,140,6.79,5098,92.32,1524,27.60,1258,22.79,677,12.27,4789,86.72,134,2.42,29,0.53,3,0.05,30,0.55,113,2.05,163,2.95,118,5.75,129,6.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1454,1355,747,0.135277074,5193,142,0.025715321,30,3,32,122,175,110,135
26049010700,26049,Michigan,Genesee County,1,5118,1948,0,43,0.84,0,0,0,0,0,0,3.1,74046,1,1,1,1,1,0,0,0,4152,4972,4152,758,943,758,4972,97.15,943,18.43,1153,22.53,846,16.53,4717,92.16,82,1.60,50,0.97,0,0.00,36,0.70,88,1.71,76,1.48,39,2.03,42,2.18,4152,81.13,758,14.81,975,19.05,656,12.82,3962,77.41,47,0.93,39,0.76,0,0.00,35,0.68,69,1.35,64,1.25,26,1.34,35,1.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,956,1183,875,0.170965221,4852,85,0.01660805,53,0,36,92,80,41,42
26049010810,26049,Michigan,Genesee County,1,5135,1980,0,12,0.23,0,0,0,0,0,0,2.4,84375,1,1,1,1,1,0,0,0,5022,5135,5022,1081,1121,1081,5135,100.00,1121,21.83,1186,23.10,963,18.75,3206,62.43,1469,28.61,283,5.51,0,0.00,14,0.27,163,3.17,85,1.66,46,2.33,178,9.00,5022,97.80,1081,21.05,1158,22.56,947,18.44,3113,60.62,1453,28.29,282,5.49,0,0.00,14,0.27,161,3.13,81,1.58,43,2.19,175,8.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1012,1186,963,0.187536514,3206,1469,0.286075949,283,0,14,163,85,40,171
26049010811,26049,Michigan,Genesee County,1,2341,877,0,207,8.84,1,1,1,1,1,1,30.2,44519,1,1,1,1,1,0,0,1,2016,2341,2016,1114,1243,1114,2341,100.00,1243,53.12,639,27.30,419,17.90,875,37.38,1304,55.70,39,1.67,0,0.00,6,0.26,117,5.00,62,2.65,138,15.75,344,39.26,2016,86.10,1114,47.59,560,23.94,369,15.76,766,32.74,1111,47.47,33,1.41,0,0.00,5,0.22,100,4.25,56,2.38,125,14.27,296,33.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1293,639,419,0.17898334,875,1304,0.557026912,39,0,6,117,62,157,362
26049010812,26049,Michigan,Genesee County,1,3936,1554,0,144,3.66,1,1,1,1,1,1,36.4,29693,1,1,1,1,1,0,0,1,1458,3241,1458,1201,2439,1201,3241,82.35,2439,61.97,933,23.71,282,7.16,1674,42.54,1396,35.47,9,0.23,1,0.03,20,0.52,141,3.57,97,2.46,401,25.80,588,37.85,1458,37.05,1201,30.53,392,9.97,132,3.36,1110,28.21,255,6.48,5,0.13,1,0.03,15,0.38,71,1.81,52,1.33,167,10.72,267,17.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2202,1115,412,0.104674797,2182,1523,0.386941057,13,3,27,188,114,361,551
26049010813,26049,Michigan,Genesee County,1,4623,2028,0,18,0.39,1,1,1,0,0,1,22.2,46964,1,1,1,1,1,0,0,0,1433,3145,1433,655,1514,655,3145,68.04,1514,32.76,665,14.38,468,10.12,2260,48.88,608,13.16,120,2.59,1,0.01,17,0.37,140,3.03,107,2.32,60,2.96,184,9.08,1433,31.01,655,14.17,311,6.73,190,4.11,948,20.51,319,6.90,81,1.75,0,0.00,9,0.20,76,1.65,31,0.68,14,0.70,84,4.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2472,905,867,0.187540558,3452,794,0.171749946,169,1,21,186,158,157,300
26049010910,26049,Michigan,Genesee County,1,3274,1494,0,0,0.00,0,1,0,0,0,1,21.3,38634,0,1,0,1,0,0,0,0,NULL,896,NULL,NULL,338,NULL,896,27.36,338,10.34,148,4.51,262,8.00,763,23.31,101,3.10,4,0.11,0,0.00,6,0.19,21,0.65,20,0.61,94,6.32,120,8.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1280,675,627,0.191508858,2715,364,0.111178986,11,1,48,135,110,172,377
26049010911,26049,Michigan,Genesee County,1,3807,1714,0,169,4.44,0,1,0,1,1,1,25.8,58603,0,1,0,1,0,0,0,1,9,2045,9,4,891,4,2045,53.72,891,23.40,409,10.73,389,10.23,607,15.94,1325,34.82,27,0.71,0,0.00,3,0.08,83,2.17,34,0.90,100,5.84,254,14.83,9,0.23,4,0.10,3,0.09,0,0.01,0,0.01,8,0.22,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,1,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1762,921,562,0.1476228,1564,2027,0.532440242,43,0,19,154,66,207,458
26049010912,26049,Michigan,Genesee County,1,3123,1349,0,16,0.51,1,1,1,0,0,1,23.8,62375,1,1,1,1,1,0,0,0,1685,2087,1685,603,754,603,2087,66.83,754,24.16,517,16.56,311,9.96,1965,62.90,61,1.95,15,0.48,0,0.00,9,0.30,37,1.20,70,2.25,43,3.15,170,12.61,1685,53.95,603,19.32,430,13.75,259,8.29,1577,50.50,53,1.69,14,0.44,0,0.00,9,0.27,33,1.06,57,1.83,24,1.79,133,9.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1078,729,601,0.192443164,2715,300,0.096061479,23,0,11,74,105,137,279
26049011010,26049,Michigan,Genesee County,1,5680,2311,0,241,4.24,1,1,1,1,1,1,13.7,51984,1,1,1,1,1,0,0,1,1411,4550,1411,845,2031,845,4550,80.11,2031,35.76,953,16.77,861,15.16,3990,70.25,340,5.99,18,0.31,1,0.02,24,0.42,178,3.13,191,3.37,116,5.03,256,11.08,1411,24.85,845,14.88,357,6.29,247,4.36,1215,21.40,112,1.98,4,0.08,0,0.00,9,0.16,70,1.23,62,1.10,54,2.35,78,3.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2360,1187,1042,0.183450704,4981,428,0.075352113,23,1,29,218,227,114,315
26049011101,26049,Michigan,Genesee County,1,8887,3325,0,148,1.67,0,0,0,0,1,0,9.9,114922,1,1,1,1,1,0,0,1,7069,8767,7069,1272,1571,1272,8767,98.65,1571,17.68,2462,27.71,1334,15.01,7406,83.34,709,7.98,421,4.74,0,0.00,26,0.29,205,2.31,236,2.66,131,3.95,127,3.81,7069,79.54,1272,14.31,2014,22.66,961,10.81,5889,66.26,601,6.77,389,4.38,0,0.00,21,0.23,169,1.90,195,2.19,125,3.76,104,3.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1548,2469,1405,0.158096095,7516,716,0.080567121,421,0,27,207,238,131,131
26049011102,26049,Michigan,Genesee County,1,5578,2482,0,145,2.60,0,0,0,0,1,0,13.7,91464,1,1,1,1,1,0,0,1,5578,5578,5578,1150,1150,1150,5578,100.00,1150,20.63,1259,22.57,746,13.37,4697,84.21,466,8.35,273,4.89,0,0.00,17,0.30,125,2.24,138,2.47,150,6.03,148,5.97,5578,100.00,1150,20.63,1259,22.57,746,13.37,4697,84.21,466,8.35,273,4.89,0,0.00,17,0.30,125,2.24,138,2.47,150,6.03,148,5.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1143,1259,746,0.133739692,4697,466,0.083542488,273,0,17,125,138,154,150
26049011209,26049,Michigan,Genesee County,1,6508,2710,0,135,2.07,0,0,0,0,0,0,13.1,90599,1,1,1,1,1,0,0,0,2695,5045,2695,936,1285,936,5045,77.52,1285,19.74,1289,19.81,620,9.52,4049,62.22,627,9.63,185,2.84,0,0.00,21,0.32,164,2.51,131,2.01,51,1.88,184,6.79,2695,41.42,936,14.39,651,10.00,274,4.20,1986,30.52,476,7.32,97,1.49,0,0.00,17,0.26,119,1.83,78,1.20,24,0.90,106,3.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1540,1597,991,0.152274124,5344,715,0.109864782,224,0,21,204,160,146,252
26049011210,26049,Michigan,Genesee County,1,1953,930,0,5,0.26,0,0,0,0,0,0,13.3,63879,0,0,0,0,0,0,0,0,NULL,394,NULL,NULL,78,NULL,394,20.17,78,3.99,107,5.47,41,2.10,305,15.64,60,3.06,5,0.28,0,0.00,1,0.04,23,1.16,19,0.97,4,0.42,22,2.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,526,457,392,0.200716846,1636,221,0.113159242,16,0,8,72,58,104,103
26049011211,26049,Michigan,Genesee County,1,5559,2315,0,19,0.34,0,0,0,0,1,0,14.8,73793,1,1,1,1,1,0,0,1,3068,5058,3068,882,1611,882,5058,90.99,1611,28.98,1253,22.53,611,10.99,3716,66.84,979,17.62,158,2.84,0,0.00,15,0.26,190,3.43,164,2.95,176,7.58,155,6.72,3068,55.19,882,15.87,785,14.12,403,7.26,2146,38.61,707,12.73,83,1.50,0,0.00,12,0.21,119,2.15,99,1.78,79,3.40,89,3.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1640,1390,671,0.120705163,4200,989,0.177909696,160,0,17,193,177,180,168
26049011212,26049,Michigan,Genesee County,1,5987,2409,0,20,0.33,0,0,0,0,0,0,8.8,57617,1,1,1,1,1,0,0,0,1983,4912,1983,707,1776,707,4912,82.04,1776,29.66,1290,21.54,575,9.60,4196,70.08,434,7.25,70,1.18,6,0.11,22,0.38,183,3.06,172,2.87,28,1.17,200,8.28,1983,33.12,707,11.81,544,9.09,213,3.56,1749,29.22,146,2.44,26,0.43,1,0.02,3,0.05,58,0.98,64,1.06,15,0.62,76,3.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2214,1580,640,0.10689828,4907,726,0.121262736,84,8,31,231,228,15,235
26049011213,26049,Michigan,Genesee County,1,5629,2014,0,11,0.20,0,0,0,0,0,0,1.7,96829,1,1,1,1,1,0,0,0,4996,5629,4996,361,418,361,5629,100.00,418,7.43,1579,28.05,528,9.38,4931,87.60,435,7.73,66,1.17,1,0.02,31,0.55,165,2.93,187,3.32,7,0.36,129,6.41,4996,88.76,361,6.42,1383,24.57,487,8.65,4427,78.65,349,6.20,54,0.95,1,0.02,28,0.50,138,2.45,165,2.93,7,0.35,115,5.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,304,1579,528,0.093799964,4931,435,0.07727838,66,1,31,165,187,10,122
26049011214,26049,Michigan,Genesee County,1,5683,2139,0,5,0.09,0,0,0,0,0,0,7.0,110703,1,1,1,1,1,0,0,0,5264,5671,5264,676,760,676,5671,99.78,760,13.38,1626,28.62,579,10.19,4567,80.35,658,11.57,254,4.47,1,0.02,38,0.67,153,2.69,179,3.14,46,2.15,104,4.85,5264,92.63,676,11.90,1517,26.69,534,9.39,4245,74.69,616,10.84,234,4.11,1,0.02,30,0.52,139,2.45,165,2.90,41,1.93,96,4.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,726,1630,580,0.102058772,4576,659,0.11595988,254,1,39,154,179,44,109
26049011301,26049,Michigan,Genesee County,1,5350,2169,0,78,1.46,0,1,0,0,0,1,44.3,24383,0,1,0,1,0,0,0,0,39,1872,39,23,1190,23,1872,35.00,1190,22.24,458,8.56,198,3.69,1678,31.36,95,1.78,8,0.15,2,0.05,15,0.28,73,1.37,58,1.09,63,2.91,353,16.27,39,0.73,23,0.43,7,0.12,6,0.11,36,0.67,1,0.02,0,0.00,0,0.00,0,0.01,1,0.03,2,0.04,1,0.04,7,0.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3703,1450,469,0.087663551,4136,906,0.169345794,15,4,41,248,186,285,992
26049011302,26049,Michigan,Genesee County,1,3692,1392,0,14,0.38,1,1,1,0,0,1,26.3,33988,1,1,1,1,1,0,0,0,1317,3692,1317,885,2584,885,3692,100.00,2584,69.98,989,26.79,307,8.32,3470,93.99,37,1.00,16,0.43,0,0.00,37,1.00,132,3.58,122,3.30,88,6.30,466,33.46,1317,35.68,885,23.97,350,9.47,124,3.37,1246,33.75,17,0.45,8,0.22,0,0.00,10,0.26,37,1.00,35,0.96,31,2.21,169,12.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2393,989,307,0.083152763,3470,37,0.010021668,16,0,37,132,122,81,432
26049011401,26049,Michigan,Genesee County,1,3229,1266,0,0,0.00,1,1,1,0,0,1,21.7,41349,1,1,1,1,1,0,0,0,1564,2924,1564,594,1370,594,2924,90.55,1370,42.44,758,23.47,347,10.76,2261,70.03,509,15.77,28,0.86,0,0.00,12,0.38,113,3.51,93,2.87,44,3.51,249,19.68,1564,48.42,594,18.41,376,11.66,214,6.62,1184,36.68,307,9.52,16,0.49,0,0.00,5,0.17,51,1.57,40,1.25,11,0.86,140,11.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1618,839,378,0.117064107,2541,525,0.162589037,28,0,13,122,104,53,258
